Country Code,Short Name,Region,year,GDPPerCapita,GDPperCapitaPPP,Homicide,HomicideFemale,HomicideFemale,Population
BWA,Botswana,Sub-Saharan Africa,1996,"4,387","9,023",,,,"1,604,060"
CAF,Central African Republic,Sub-Saharan Africa,1996,404,798,,,,"3,435,821"
CAN,Canada,North America,1996,"37,766","32,395",2,,,"29,671,900"
CHE,Switzerland,Europe & Central Asia,1996,"61,833","46,302",1,,,"7,071,850"
CHI,Channel Islands,Europe & Central Asia,1996,,,,,,"144,829"
CHL,Chile,Latin America & Caribbean,1996,"8,480","12,820",,,,"14,497,826"
CHN,China,East Asia & Pacific,1996,"1,335","2,789",,,,"1,217,550,000"
CIV,Côte d'Ivoire,Sub-Saharan Africa,1996,"1,373","3,028",,,,"14,995,249"
CMR,Cameroon,Sub-Saharan Africa,1996,"1,083","2,424",,,,"13,812,472"
COD,Dem. Rep. Congo,Sub-Saharan Africa,1996,386,762,,,,"42,770,544"
COG,Congo,Sub-Saharan Africa,1996,"2,452","4,646",,,,"2,879,222"
COL,Colombia,Latin America & Caribbean,1996,"4,933","8,544",72,,,"38,049,038"
COM,Comoros,Sub-Saharan Africa,1996,"1,207","2,227",,,,"488,627"
CPV,Cabo Verde,Sub-Saharan Africa,1996,"1,497","2,633",,,,"398,773"
CRI,Costa Rica,Latin America & Caribbean,1996,"5,580","8,847",5,,,"3,596,732"
CUB,Cuba,Latin America & Caribbean,1996,"3,052",,,,,"10,961,012"
CUW,Curaçao,Latin America & Caribbean,1996,,,,,,"146,306"
CYM,Cayman Islands,Latin America & Caribbean,1996,,,,,,"33,536"
CYP,Cyprus,Europe & Central Asia,1996,"23,113","25,434",,,,"873,423"
CZE,Czech Republic,Europe & Central Asia,1996,"14,048","20,108",2,,,"10,315,241"
DEU,Germany,Europe & Central Asia,1996,"34,966","33,830",2,,,"81,914,831"
DJI,Djibouti,Middle East & North Africa,1996,,,,,,"643,682"
DMA,Dominica,Latin America & Caribbean,1996,"5,015","7,398",,,,"71,145"
DNK,Denmark,Europe & Central Asia,1996,"50,262","38,101",1,,,"5,263,074"
DOM,Dominican Republic,Latin America & Caribbean,1996,"3,325","6,788",13,,,"8,029,113"
DZA,Algeria,Middle East & North Africa,1996,"3,298","9,510",,,,"29,411,415"
ECU,Ecuador,Latin America & Caribbean,1996,"3,833","7,697",,,,"11,683,479"
EGY,Egypt,Middle East & North Africa,1996,"1,671","6,332",,,,"64,933,456"
ERI,Eritrea,Sub-Saharan Africa,1996,585,"1,718",,,,"3,116,379"
ESP,Spain,Europe & Central Asia,1996,"24,219","25,614",1,,,"39,889,852"
EST,Estonia,Europe & Central Asia,1996,"7,818","12,145",15,,,"1,415,594"
ETH,Ethiopia,Sub-Saharan Africa,1996,199,626,,,,"59,155,148"
FIN,Finland,Europe & Central Asia,1996,"33,059","28,512",3,,,"5,124,573"
FJI,Fiji,East Asia & Pacific,1996,"3,235","6,513",,,,"784,476"
FRA,France,Europe & Central Asia,1996,"34,442","31,202",2,,,"59,753,100"
FRO,Faroe Islands,Europe & Central Asia,1996,,,,,,"46,058"
FSM,Micronesia,East Asia & Pacific,1996,"2,618","3,017",,,,"108,344"
GAB,Gabon,Sub-Saharan Africa,1996,"11,459","20,101",,,,"1,113,994"
GBR,United Kingdom,Europe & Central Asia,1996,"31,373","29,309",1,,,"58,166,950"
GEO,Georgia,Europe & Central Asia,1996,"1,181","2,682",5,,,"4,491,699"
GHA,Ghana,Sub-Saharan Africa,1996,904,"2,108",,,,"17,185,608"
GIB,Gibraltar,Europe & Central Asia,1996,,,,,,"30,382"
GIN,Guinea,Sub-Saharan Africa,1996,535,"1,326",,,,"8,132,552"
GMB,The Gambia,Sub-Saharan Africa,1996,489,"1,428",,,,"1,096,708"
GNB,Guinea-Bissau,Sub-Saharan Africa,1996,699,"1,793",,,,"1,159,060"
GNQ,Equatorial Guinea,Sub-Saharan Africa,1996,"1,399","2,753",,,,"523,999"
GRC,Greece,Europe & Central Asia,1996,"20,389","21,759",2,,,"10,608,800"
GRD,Grenada,Latin America & Caribbean,1996,"4,873","7,395",,,,"100,796"
GRL,Greenland,Europe & Central Asia,1996,"27,262",,,,,"55,900"
GTM,Guatemala,Latin America & Caribbean,1996,"2,371","5,635",35,,,"10,646,674"
GUM,Guam,East Asia & Pacific,1996,,,,,,"148,060"
GUY,Guyana,Latin America & Caribbean,1996,"2,222","4,268",12,,,"761,861"
HKG,"Hong Kong SAR, China",East Asia & Pacific,1996,"21,835","32,271",,,,"6,435,500"
HND,Honduras,Latin America & Caribbean,1996,"1,561","3,207",,,,"5,867,849"
HRV,Croatia,Europe & Central Asia,1996,"9,188","13,689",3,,,"4,557,097"
HTI,Haiti,Latin America & Caribbean,1996,757,"1,717",,,,"7,965,553"
HUN,Hungary,Europe & Central Asia,1996,"8,969","15,348",3,,,"10,311,238"
IDN,Indonesia,East Asia & Pacific,1996,"2,358","6,387",,,,"199,914,831"
IMN,Isle of Man,Europe & Central Asia,1996,"33,686",,,,,"70,431"
IND,India,South Asia,1996,714,"2,343",4,,,"978,893,217"
IRL,Ireland,Europe & Central Asia,1996,"30,977","27,672",1,,,"3,637,510"
IRN,Iran,Middle East & North Africa,1996,"4,685","12,868",,,,"61,583,089"
IRQ,Iraq,Middle East & North Africa,1996,"2,500","7,061",,,,"20,845,893"
ISL,Iceland,Europe & Central Asia,1996,"31,270","29,171",0,,,"268,916"
ISR,Israel,Middle East & North Africa,1996,"25,230","24,413",2,,,"5,692,000"
ITA,Italy,Europe & Central Asia,1996,"33,243","33,569",2,,,"56,860,281"
JAM,Jamaica,Latin America & Caribbean,1996,"4,897","8,360",37,,,"2,561,993"
JOR,Jordan,Middle East & North Africa,1996,"2,651","6,825",,,,"4,716,373"
JPN,Japan,East Asia & Pacific,1996,"41,515","33,346",0,,,"125,757,000"
KAZ,Kazakhstan,Europe & Central Asia,1996,"3,814","8,451",17,,,"15,577,894"
KEN,Kenya,Sub-Saharan Africa,1996,871,"2,230",,,,"28,147,734"
KGZ,Kyrgyz Republic,Europe & Central Asia,1996,565,"1,790",11,,,"4,628,400"
KHM,Cambodia,East Asia & Pacific,1996,351,"1,128",5,,,"10,980,273"
KIR,Kiribati,East Asia & Pacific,1996,"1,626","1,877",,,,"78,907"
KNA,St. Kitts and Nevis,Latin America & Caribbean,1996,"11,741","18,445",9,,,"43,373"
KOR,Korea,East Asia & Pacific,1996,"12,848","17,656",,,,"45,524,681"
KWT,Kuwait,Middle East & North Africa,1996,"41,185","80,454",,,,"1,631,740"
LAO,Lao PDR,East Asia & Pacific,1996,573,"2,118",,,,"4,957,180"
LBN,Lebanon,Middle East & North Africa,1996,"6,774","12,580",,,,"3,070,960"
LBR,Liberia,Sub-Saharan Africa,1996,,,,,,"2,191,179"
